stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0.5,4.0,59.16186749981716,,59.14629859989509,59.16186749981716,59.64545760001056,59.64545760001056,59.66353499982506,59.94489759998396,60.029334399849176,right,4.0,1,1,0.3757575999479741,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
56,0.5,4.0,60.04463329981081,,60.02946509979665,60.04463329981081,60.54512529983185,60.54512529983185,60.54512529983185,60.84478279994801,60.896306299837306,right,4.0,0,0,0.33894340018741786,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
57,0.5,4.5,60.91119239991531,,60.89644129993394,60.91119239991531,61.41039739991538,61.41039739991538,61.41039739991538,61.71232339995913,61.932201699819416,left,-4.5,1,1,0.5184031999669969,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
58,0.5,4.5,61.94575840001926,,61.93234859989025,61.94575840001926,62.44473519991152,62.44473519991152,62.46136389998719,62.74523209990002,63.04531880002469,right,4.5,1,1,0.5858034000266343,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
59,0.5,4.5,63.06108839996159,,63.04541579983197,63.06108839996159,63.54475839994848,63.54475839994848,63.56036249990575,63.8448981998954,63.92848419980146,left,-4.5,1,1,0.3708308001514524,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
60,0.5,4.0,63.944585299817845,,63.92856349982321,63.944585299817845,64.42899649986066,64.42899649986066,64.44600039999932,64.72918199980631,64.82866130000912,right,4.0,0,0,0.39343130006454885,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
61,0.5,4.5,64.84447309980169,,64.82873829989694,64.84447309980169,65.3451087998692,65.3451087998692,65.3451087998692,65.64597969991155,65.78038729983382,right,4.5,1,1,0.43092089984565973,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
62,0.5,4.5,65.79334299988113,,65.78049049992114,65.79334299988113,66.29433760000393,66.29433760000393,66.29433760000393,66.59509189985693,66.62835529982112,left,-4.5,1,1,0.3312898001167923,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
63,0.5,4.5,66.64458189997822,,66.6284417998977,66.64458189997822,67.12815629993565,67.12815629993565,67.144334099954,67.42842029989697,67.67947999993339,left,-4.5,1,1,0.5378970000892878,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
64,0.5,4.0,67.6941499998793,,67.67959650000557,67.6941499998793,68.19475609995425,68.19475609995425,68.19475609995425,68.49521919991821,68.84612369979732,right,4.0,0,0,0.6354157000314444,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
65,0.5,4.5,68.86265439982526,,68.84624859993346,68.86265439982526,69.34522599983029,69.34522599983029,69.36269450001419,69.64621219993569,69.98090650001541,right,4.5,1,1,0.6189393000677228,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
66,0.5,4.5,69.99569109990261,,69.98109789984301,69.99569109990261,70.49530099984258,70.49530099984258,70.49530099984258,70.7956798998639,70.91465189983137,right,4.5,1,1,0.4093214999884367,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
67,0.5,4.5,70.92920919996686,,70.91486609983258,70.92920919996686,71.42890559998341,71.42890559998341,71.42890559998341,71.72973589994945,71.94865299994126,left,-4.5,1,1,0.5162102999165654,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
68,0.5,4.0,71.96212069992907,,71.94889150001109,71.96212069992907,72.46291659981944,72.46291659981944,72.46291659981944,72.76299640000798,73.06398029997945,right,4.0,1,1,0.5914002999197692,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
69,0.5,4.0,73.07872319989838,,73.06416449998505,73.07872319989838,73.57932239980437,73.57932239980437,73.57932239980437,73.87908669980243,74.08140079979785,right,4.0,1,1,0.48511769995093346,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
70,0.5,4.0,74.09583629993722,,74.08159750001505,74.09583629993722,74.59567660000175,74.59567660000175,74.59567660000175,74.89553769980557,75.23162329988554,left,-4.0,1,1,0.6283458999823779,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
71,0.5,3.5,75.24562589987181,,75.23184989998117,75.24562589987181,75.74593480001204,75.74593480001204,75.74593480001204,76.0444263999816,76.41554369986989,right,3.5,1,1,0.6631247000768781,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
72,0.5,3.5,76.42885349993594,,76.41572940000333,76.42885349993594,76.92900349991396,76.92900349991396,76.92900349991396,77.22870719991624,77.36434769979678,left,-3.5,1,1,0.42635570000857115,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
73,0.5,3.5,77.37879380001687,,77.36453479994088,77.37879380001687,77.87873769993894,77.87873769993894,77.87873769993894,78.17891060002148,78.58096669986844,right,3.5,1,1,0.6953863000962883,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
74,0.5,3.0,78.59591139992699,,78.58112200000323,78.59591139992699,79.09523229999468,79.09523229999468,79.09523229999468,79.3956408998929,79.56586569990031,right,3.0,0,0,0.467317899921909,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
75,0.5,3.5,79.57863819994964,,79.56604789989069,79.57863819994964,80.07918439991772,80.07918439991772,80.07918439991772,80.37917209998704,80.63158629997633,left,-3.5,1,1,0.5489968999754637,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
76,0.5,3.5,80.64558499981649,,80.63174350000918,80.64558499981649,81.14615879999474,81.14615879999474,81.14615879999474,81.44596539996564,81.68237910000607,left,-3.5,1,1,0.5244208001531661,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
77,0.5,3.5,81.69627640000544,,81.68260529986583,81.69627640000544,82.19524609996006,82.19524609996006,82.19524609996006,82.49556929990649,82.76521889981814,right,3.5,1,1,0.5637721000239253,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
78,0.5,3.0,82.77805490000173,,82.76541039999574,82.77805490000173,83.27881679986604,83.27881679986604,83.27881679986604,83.57921889983118,83.86400179984048,right,3.0,1,1,0.5799704999662936,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
79,0.5,3.0,83.87874969979748,,83.86415869998746,83.87874969979748,84.37875289982185,84.37875289982185,84.37875289982185,84.68567479983903,84.97863459982909,right,3.0,1,1,0.5888541000895202,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
80,0.5,3.0,84.99330919981003,,84.97872409992851,84.99330919981003,85.4783564999234,85.4783564999234,85.49516969989054,85.77870579995215,86.09855559980497,right,3.0,1,1,0.6138446999248117,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
81,0.5,2.5,86.11314789997414,,86.09874589997344,86.11314789997414,86.61267719999887,86.61267719999887,86.6286704998929,86.91196399996988,87.04445019993,right,2.5,1,1,0.42330759996548295,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
82,0.5,2.5,87.05969509994611,,87.04453079984523,87.05969509994611,87.54527190001681,87.54527190001681,87.5619635998737,87.84571999986656,87.96445259987377,right,2.5,1,1,0.40899799996986985,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
83,0.5,2.5,87.97843599994667,,87.96462329989299,87.97843599994667,88.47864869982004,88.47864869982004,88.47864869982004,88.77837740001269,88.96445799991488,left,-2.5,1,1,0.4701621001586318,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
84,0.5,2.0,88.97761929989792,,88.9646183999721,88.97761929989792,89.47902909992263,89.47902909992263,89.47902909992263,89.77880209987052,90.51512879994698,right,2.0,1,1,1.0181712000630796,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
85,0.5,2.0,90.52913979999721,,90.51532409992069,90.52913979999721,91.0282805999741,91.0282805999741,91.0282805999741,91.32873569987714,91.61492530000396,left,-2.0,1,1,0.5791146999690682,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
